venue,win_by_runs,win_by_wickets,matches_played,venue_category
Sportpark Westvliet,0.0,7.0,1,Bowling-Friendly
"Sportpark Westvliet, The Hague",14.538461538461538,2.0,13,Balanced
"Sportpark Westvliet, Voorburg",2.333333333333333,1.0,3,Balanced
"St Albans Club, Buenos Aires",27.307692307692307,2.923076923076923,13,Balanced
"St George's College Ground, Buenos Aires",34.111111111111114,1.6666666666666667,9,Batting-Friendly
St George's Park,28.666666666666668,3.75,12,Balanced
"St George's Park, Gqeberha",13.88888888888889,4.444444444444445,9,Bowling-Friendly
"St George's Park, Port Elizabeth",226.0,0.0,2,Batting-Friendly
St Georges Quilmes,0.0,6.333333333333333,3,Bowling-Friendly
St Lawrence Ground,118.33333333333331,2.333333333333333,3,Batting-Friendly
"St Lawrence Ground, Canterbury",97.0,2.0,3,Batting-Friendly
"Sunrise Sports Club, Harare",114.0,0.0,1,Batting-Friendly
SuperSport Park,55.17391304347826,2.0434782608695654,23,Batting-Friendly
"SuperSport Park, Centurion",27.823529411764707,3.0,17,Balanced
"Svanholm Park, Brondby",32.81818181818182,4.090909090909091,11,Balanced
Sydney Cricket Ground,44.65217391304348,1.5,46,Batting-Friendly
Sydney Parade,58.5,0.0,2,Batting-Friendly
Sydney Showground Stadium,20.0,0.0,4,Balanced
Sylhet International Cricket Stadium,53.05882352941177,1.9705882352941175,34,Batting-Friendly
"Sylhet International Cricket Stadium, Academy Ground",26.11111111111111,3.7777777777777777,9,Balanced
Sylhet Stadium,19.666666666666668,1.3333333333333333,3,Balanced
"TCA Oval, Blantyre",0.0,7.666666666666667,3,Bowling-Friendly
